model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc
2.0,7277454.0,151122.0,37409746.0,3668616.0,29663511.0,34669637.0,0.107089
2.0,12119310.0,6062164.0,84818399.0,6065407.0,84830009.0,84771068.0,0.299028
2.0,12112463.0,6055542.0,84779354.0,6061944.0,84791393.0,84742910.0,0.29903
2.0,12163531.0,6081367.0,85134960.0,6086600.0,85146025.0,85102017.0,0.300304
2.0,12166254.0,6082179.0,85156596.0,6089123.0,85169523.0,85119036.0,0.300353
2.0,12124717.0,6061608.0,84864269.0,6068183.0,84876707.0,84828454.0,0.299332
2.0,12180875.0,6090122.0,85256426.0,6095391.0,85267685.0,85222316.0,0.300725
2.0,12128482.0,6064031.0,84888066.0,6068533.0,84898770.0,84852629.0,0.299423
2.0,12188432.0,6093775.0,85308736.0,6099120.0,85320013.0,85275037.0,0.300912
2.0,2370012.0,2567195.0,11803733.0,373202.0,3409118.0,11653427.0,0.017871
2.0,2345426.0,2599220.0,12804122.0,414584.0,3598476.0,12655089.0,0.019964
2.0,2359776.0,2557149.0,11910822.0,382807.0,3411322.0,11767059.0,0.018201
2.0,2416887.0,2547641.0,11509804.0,364543.0,3306734.0,11326210.0,0.017318
2.0,2427882.0,2540187.0,11239411.0,353723.0,3246660.0,11058215.0,0.016775
2.0,2351701.0,2561390.0,11746307.0,358712.0,3283109.0,11614480.0,0.017956
2.0,2347228.0,2575717.0,12085121.0,365204.0,3319508.0,11945422.0,0.018644
2.0,2404562.0,2529643.0,11161503.0,345524.0,3197452.0,10989952.0,0.016687
2.0,16516467.0,526350.0,88311131.0,9411470.0,93467329.0,43961029.0,0.229542
2.0,16638421.0,518887.0,90942986.0,9941769.0,96601396.0,47276840.0,0.246728
2.0,16834238.0,522437.0,93976846.0,10498082.0,100143393.0,50598983.0,0.263644
2.0,16821470.0,520815.0,93877415.0,10481150.0,100016885.0,50513864.0,0.263546
2.0,16539386.0,537607.0,90605179.0,9950791.0,96261732.0,47418385.0,0.248297
2.0,16298000.0,575476.0,88204915.0,9521527.0,93444755.0,44892422.0,0.235803
2.0,16486210.0,518712.0,90200200.0,9919602.0,95828653.0,47176444.0,0.248558
2.0,16651151.0,519226.0,92255712.0,10255826.0,98184111.0,49233307.0,0.257615
3.0,156504.0,97170.0,1055978.0,115482.0,1059053.0,1014680.0,0.140702
3.0,108788.0,59317.0,725678.0,77321.0,727765.0,698068.0,0.135328
3.0,116938.0,64018.0,799810.0,83900.0,801531.0,759296.0,0.129753
3.0,108699.0,59477.0,727644.0,76378.0,729523.0,700630.0,0.146515
3.0,108711.0,59445.0,727692.0,76404.0,729620.0,700630.0,0.15094
3.0,109165.0,60090.0,726288.0,76771.0,728841.0,698178.0,0.150803
3.0,110303.0,60400.0,739431.0,77859.0,741874.0,710586.0,0.15921
3.0,173494263.0,46190022.0,1005070726.0,145778819.0,1016985693.0,732599013.0,0.440004
3.0,2647441.0,2915114.0,13839951.0,375505.0,3405953.0,13773815.0,0.03685
3.0,2832555.0,2905659.0,12610039.0,468869.0,3869464.0,12529909.0,0.031446
3.0,2687098.0,2913293.0,14510128.0,485997.0,3926634.0,14447666.0,0.038599
3.0,2767097.0,2915099.0,13343759.0,473607.0,3887419.0,13284047.0,0.034244
3.0,2822220.0,2904075.0,12228926.0,421694.0,3635604.0,12145453.0,0.030383
3.0,2673200.0,2915577.0,13441013.0,378768.0,3399336.0,13385848.0,0.035439
3.0,2780139.0,2920174.0,12315653.0,355395.0,3305842.0,12228734.0,0.031191
