model,numLoadInsts,numStoreInsts,numInsts,numBranches,intAluAccesses,numOps,ipc,hit,L1Icache,L1Dcache,L2cache,pipelinewidth
2,12113393,6057604,84782561,6059847,84784718,84768174,0.288168,17774842,32768,524288,1048576,8
2,12181599,6091905,85260959,6094048,85262961,85248375,0.289802,17874930,32768,524288,1048576,8
2,12145140,6073486,85006797,6075930,85008988,84992512,0.288927,17821396,32768,524288,1048576,8
2,12124119,6063092,84857905,6065192,84859960,84844376,0.288428,17790614,32768,524288,1048576,8
2,12190662,6096336,85323491,6098462,85325504,85309908,0.290011,17887733,32768,524288,1048576,8
2,12133711,6067856,84924705,6069966,84926735,84911277,0.288656,17804483,32768,524288,1048576,8
2,12125851,6063918,84869754,6066037,84871776,84856618,0.28847,17793381,32768,524288,1048576,8
2,12256174,499535,71838571,8462068,73712798,44206879,0.28874,10698036,32768,524288,1048576,8
2,12356900,496186,73620236,8807017,75496461,46153775,0.300872,10803072,32768,524288,1048576,8
2,12552236,494818,76375731,9295575,78242786,49078609,0.319817,11003787,32768,524288,1048576,8
2,12499391,496264,75677580,9174267,77546001,48325623,0.315298,10951982,32768,524288,1048576,8
2,12359308,514276,73972128,8897876,75833339,46751489,0.30624,10828929,32768,524288,1048576,8
2,12076623,548064,70394773,8265058,72276180,43011464,0.283051,10559640,32768,524288,1048576,8
2,12227926,495537,72680280,8703697,74535710,45488924,0.299659,10687784,32768,524288,1048576,8
2,12254418,494373,73123982,8777437,74974277,45974910,0.302253,10717792,32768,524288,1048576,8
2,7262567,165572,37210994,3650450,29574466,34527289,0.066239,3921609,32768,524288,1048576,8
2,7315012,153605,37777884,3770816,30211978,35088791,0.067387,3980409,32768,524288,1048576,8
2,7330349,150567,37822370,3779575,30263493,35211982,0.067579,3936797,32768,524288,1048576,8
2,7347709,154068,37932086,3786673,30333324,35263975,0.06771,3959563,32768,524288,1048576,8
2,7297586,156283,37456407,3689973,29797802,34753655,0.066779,3928136,32768,524288,1048576,8
2,7304807,161198,37480273,3672414,29745892,34693519,0.066709,3929991,32768,524288,1048576,8
2,7290978,154718,37334045,3660511,29653924,34665767,0.066592,3930276,32768,524288,1048576,8
2,7315565,149298,37375155,3665517,29706684,34780101,0.066758,3900141,32768,524288,1048576,8
2,2772442,2948687,14071271,381781,3503149,13870176,0.037191,3067387,32768,524288,1048576,8
2,2891362,2904996,12239386,368932,3419757,12020075,0.030474,2979124,32768,524288,1048576,8
2,2742178,2927251,14114269,376118,3429770,13922214,0.037621,3037064,32768,524288,1048576,8
2,2831661,2904321,12963005,373356,3432091,12745234,0.033221,2984862,32768,524288,1048576,8
2,2876125,2896690,11969718,349478,3312209,11755778,0.029664,2969809,32768,524288,1048576,8
2,2762312,2905964,13466059,363076,3357136,13272174,0.035327,3012233,32768,524288,1048576,8
2,2879967,2921797,12446117,356225,3353935,12223081,0.031294,2993810,32768,524288,1048576,8
2,2791199,2916425,13197758,362646,3369211,12999982,0.03425,3014359,32768,524288,1048576,8
2,2647441,2915114,13839951,375505,3405953,13773815,0.03685,3161487,32768,524288,1048576,8
2,2832555,2905659,12610039,468869,3869464,12529909,0.031446,3120367,32768,524288,1048576,8
2,2687098,2913293,14510128,485997,3926634,14447666,0.038599,3235271,32768,524288,1048576,8
2,2767097,2915099,13343759,473607,3887419,13284047,0.034244,3190943,32768,524288,1048576,8
2,2822220,2904075,12228926,421694,3635604,12145453,0.030383,3096586,32768,524288,1048576,8
2,2673200,2915577,13441013,378768,3399336,13385848,0.035439,3170575,32768,524288,1048576,8
2,2780139,2920174,12315653,355395,3305842,12228734,0.031191,3077450,32768,524288,1048576,8
2,2725768,2926104,13181318,375437,3394077,13102194,0.034342,3136947,32768,524288,1048576,8
2,11673984,103194,51733452,4071452,32309753,51669691,0.120603,4426770,32768,524288,1048576,8
2,11772756,89827,54069565,4528070,34883942,54019351,0.127016,4597250,32768,524288,1048576,8
2,11796965,89875,54441571,4594854,35274191,54391135,0.128219,4629997,32768,524288,1048576,8
2,11863316,89753,55176077,4719252,36000099,55124672,0.130088,4688315,32768,524288,1048576,8
2,11930992,88731,55462327,4743241,36173752,55411829,0.130118,4721931,32768,524288,1048576,8
2,11750127,88731,53491033,4411389,34231884,53443339,0.125283,4537301,32768,524288,1048576,8
2,11905260,89760,55671233,4789543,36481394,55621405,0.131011,4724573,32768,524288,1048576,8
2,11613617,90812,53459634,4486452,34554307,53407316,0.127194,4548074,32768,524288,1048576,8
2,12134106,6072178,84920867,6075338,84924217,84899734,0.199808,17807428,32768,524288,1048576,8
2,12154890,6078932,85069178,6082069,85072074,85051536,0.200269,17834290,32768,524288,1048576,8
2,12160266,6080626,85115403,6088412,85118059,85101681,0.200384,17841481,32768,524288,1048576,8
